NO. OF DAYS PRESENT,NO. OF DAYS ON LEAVE WITHOUT PAY,LEAVE CREDITS EARNED
30,0,1.25
29.5,0.5,1.229
29,1,1.208
28.5,1.5,1.188
28,2,1.167
27.5,2.5,1.146
27,3,1.125
26.5,3.5,1.104
26,4,1.083
25.5,4.5,1.063
25,5,"1,042"
24.5,5.5,1.021
24,6,1
23.5,6.5,0.979
23,7,0.958
22.5,7.5,0.938
22,8,0.917
21.5,8.5,0.896
21,9,0.875
20.5,9.5,0.854
20,10,0.833
19.5,10.5,0.813
19,11,0.792
18.5,11.5,0.771
18,12,0.75
17.5,12.5,0.729
17,13,0.708
16.5,13.5,0.687
16,14,0.667
15.5,14.5,0.646
15,15,0.625
14.5,15.5,0.604
14,16,0.583
13.5,16.5,0.562
13,17,0.542
12.5,17.5,0.521
12,18,0.5
11.5,18.5,0.479
11,19,0.458
10.5,19.5,0.437
10,20,0.417
9.5,20.5,0.396
9,21,0.375
8.5,21.5,0.354
8,22,0.333
7.5,22.5,0.312
7,23,0.292
6.5,23.5,0.271
6,24,0.25
5.5,24.5,0.229
5,25,0.208
4.5,25.5,0.187
4,26,0.167
3.5,26.5,0.146
3,27,0.125
2.5,27.5,0.104
2,28,0.083
1.5,28.5,0.062
1,29,0.041
0.5,29.5,0.02
0,30,0
